,class_code,description,level,level_2,level_3,level_4
557,F05C,"Indexing scheme relating to materials, material properties or material characteristics for machines, engines or pumps other than non-positive-displacement machines or engines",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engines or pumps,Indexing schemes relating to engines or pumps in various subclasses of classes 
558,F05D,"Indexing scheme for aspects relating to non-positive-displacement machines or engines, gas-turbines or jet-propulsion plants",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engines or pumps,Indexing schemes relating to engines or pumps in various subclasses of classes 
561,F15B,Systems acting by means of fluids in general,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Fluid-pressure actuators
562,F15C,Fluid-circuit elements predominantly used for computing or control purposes ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Fluid-pressure actuators
563,F15D,"Fluid dynamics, i.e. methods or means for influencing the flow of gases or liquids ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Fluid-pressure actuators
565,F16B,"Devices for fastening or securing constructional elements or machine parts together, e.g. nails, bolts, circlips, clamps, clips, wedges, joints or jointing",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
566,F16C,Shafts,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
567,F16D,Couplings for transmitting rotation,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
568,F16F,Springs,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
569,F16G,"Belts, cables, or ropes, predominantly used for driving purposes",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
570,F16H,Gearing,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
571,F16J,Pistons ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
572,F16K,Valves,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
573,F16L,Pipes,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
574,F16M,"Frames, casings, or beds of engines or other machines or apparatus not specific to an engine, machine, or apparatus provided for elsewhere",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
575,F16N,Lubricating,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
576,F16P,Safety devices in general; ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
577,F16S,Constructional elements in general,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
578,F16T,Steam traps or like apparatus for draining-off liquids from enclosures predominantly containing gases or vapours,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Engineering elements and units
580,F17B,Gas-holders of variable capacity ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Storing of distributing gases or liquids 
581,F17C,"Vessels for containing or storing compressed, liquefied or solidified gases",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Storing of distributing gases or liquids 
582,F17D,Pipe-line systems,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Engineering in general,Storing of distributing gases or liquids 
585,F21H,Mantles,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Lighting 
586,F21K,Light sources not otherwise provided for,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Lighting 
587,F21L,"Lighting devices or systems thereof, being portable or specially adapted for transportation",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Lighting 
588,F21S,Non-portable lighting devices or systems thereof ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Lighting 
589,F21V,"Details of lighting devices, of general application",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Lighting 
590,F21W,Indexing scheme relating to uses or applications of lighting devices or systems,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Lighting 
591,F21Y,Indexing scheme relating to the form of the light sources,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Lighting 
593,F22B,Methods of steam generation,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Steam generation 
594,F22D,"Preheating, or accumulating preheated, feed-water",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Steam generation 
595,F22G,Superheating of steam ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Steam generation 
597,F23B,Methods or apparatus for combustion using only solid fuel ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
598,F23C,Combustion apparatus using fluent fuel ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
599,F23D,Burners ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
600,F23G,Cremation furnaces,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
601,F23H,Grates ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
602,F23J,Removal or treatment of combustion products or combustion residues ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
603,F23K,Feeding fuel to combustion apparatus ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
604,F23L,Air supply,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
605,F23M,"Casings, linings, walls or doors specially adapted for combustion chambers, e.g. firebridges",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
606,F23N,Regulating or controlling combustion ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
607,F23Q,Ignition ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
608,F23R,"Generating combustion products of high pressure or high velocity, e.g. gas-turbine combustion chambers ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Combustion apparatus
610,F24B,Domestic stoves or ranges for solid fuels,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heating
611,F24C,Other domestic stoves or ranges,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heating
612,F24D,"Domestic- or space-heating systems, e.g. central heating systems",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heating
613,F24F,"Air-conditioning, air-humidification, ventilation, use of air currents for screening ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heating
614,F24H,"Fluid heaters, e.g. water or air heaters, having heat generating means, in general ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heating
615,F24J,Producing or use of heat not otherwise provided for ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heating
617,F25B,"Refrigeration machines, plants or systems",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Refrigeration or cooling
618,F25C,"Production, working, storing or distribution of ice ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Refrigeration or cooling
619,F25D,Refrigerators,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Refrigeration or cooling
620,F25J,"Liquefaction, solidification or separation of gases or gaseous ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Refrigeration or cooling
622,F26B,Drying solid materials or objects by removing liquid therefrom ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Drying
624,F27B,"Furnaces, kilns, ovens, or retorts in general",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Furnaces
625,F27D,"Details or accessories of furnaces, kilns, ovens, or retorts, in so far as they are of kinds occurring in more than one kind of furnace ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Furnaces
626,F27M,"Indexing scheme relating to aspects of the charges or furnaces, kilns, ovens or retorts",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Furnaces
628,F28B,Steam or vapour condensers ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heat exchange in general
629,F28C,"Heat-exchange apparatus, not provided for in another subclass, in which the heat-exchange media come into direct contact without chemical interaction ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heat exchange in general
630,F28D,"Heat-exchange apparatus, not provided for in another subclass, in which the heat-exchange media do not come into direct contact ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heat exchange in general
631,F28F,"Details of heat-exchange and heat-transfer apparatus, of general application ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heat exchange in general
632,F28G,"Cleaning of internal or external surfaces of heat-exchange or heat-transfer conduits, e.g. water tubes or boilers ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Lighting,Heat exchange in general
635,F41A,"Functional features or details common to both smallarms and ordnance, e.g. cannons",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Weapons
636,F41B,Weapons for projecting missiles without use of explosive or combustible propellant charge,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Weapons
637,F41C,"Smallarms, e.g. pistols, rifles ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Weapons
638,F41F,"Apparatus for launching projectiles or missiles from barrels, e.g. cannons ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Weapons
639,F41G,Weapon sights,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Weapons
640,F41H,Armour,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Weapons
641,F41J,Targets,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Weapons
643,F42B,"Explosive charges, e.g. for blasting, fireworks, ammunition ",5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Ammunition
644,F42C,Ammunition fuzes ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Ammunition
645,F42D,Blasting ,5,Mechanical engineering; lighting; heating; weapons; blasting engines or pumps,Weapons,Ammunition
649,G01B,"Measuring length, thickness or similar linear dimensions",5,Physics,Instruments,Measuring 
650,G01C,"Measuring distances, levels or bearings",5,Physics,Instruments,Measuring 
651,G01D,Measuring not specially adapted for a specific variable,5,Physics,Instruments,Measuring 
652,G01F,"Measuring volume, volume flow, mass flow or liquid level",5,Physics,Instruments,Measuring 
653,G01G,Weighing ,5,Physics,Instruments,Measuring 
654,G01H,"Measurement of mechanical vibrations or ultrasonic, sonic or infrasonic waves ",5,Physics,Instruments,Measuring 
655,G01J,"Measurement of intensity, velocity, spectral content, polarisation, phase or pulse characteristics of infra-red, visible or ultra-violet light",5,Physics,Instruments,Measuring 
656,G01K,Measuring temperature,5,Physics,Instruments,Measuring 
657,G01L,"Measuring force, stress, torque, work, mechanical power, mechanical efficiency, or fluid pressure ",5,Physics,Instruments,Measuring 
658,G01M,Testing static or dynamic balance of machines or structures,5,Physics,Instruments,Measuring 
659,G01N,Investigating or analysing materials by determining their chemical or physical properties ,5,Physics,Instruments,Measuring 
660,G01P,"Measuring linear or angular speed, acceleration, deceleration, or shock",5,Physics,Instruments,Measuring 
661,G01Q,Scanning-probe techniques or apparatus,5,Physics,Instruments,Measuring 
662,G01R,Measuring electric variables,5,Physics,Instruments,Measuring 
663,G01S,Radio direction-finding,5,Physics,Instruments,Measuring 
664,G01T,Measurement of nuclear or x-radiation ,5,Physics,Instruments,Measuring 
665,G01V,Geophysics,5,Physics,Instruments,Measuring 
666,G01W,Meteorology ,5,Physics,Instruments,Measuring 
668,G02B,"Optical elements, systems, or apparatus ",5,Physics,Instruments,Optics 
669,G02C,Spectacles,5,Physics,Instruments,Optics 
670,G02F,"Devices or arrangements, the optical operation of which is modified by changing the optical properties of the medium of the devices or arrangements for the control of the intensity, colour, phase, polarisation or direction of light, e.g. switching, gating, modulating or demodulating",5,Physics,Instruments,Optics 
672,G03B,Apparatus or arrangements for taking photographs or for projecting or viewing them,5,Physics,Instruments,Photography
673,G03C,Photosensitive materials for photographic purposes ,5,Physics,Instruments,Photography
674,G03D,Apparatus for processing exposed photographic materials ,5,Physics,Instruments,Photography
675,G03F,"Photomechanical production of textured or patterned surfaces, e.g. for printing, for processing of semiconductor devices",5,Physics,Instruments,Photography
676,G03G,Electrography,5,Physics,Instruments,Photography
677,G03H,Holographic processes or apparatus ,5,Physics,Instruments,Photography
679,G04B,Mechanically-driven clocks or watches,5,Physics,Instruments,Horology
680,G04C,Electromechanical clocks or watches ,5,Physics,Instruments,Horology
681,G04D,Apparatus or tools specially designed for making or maintaining clocks or watches ,5,Physics,Instruments,Horology
682,G04F,Time-interval measuring ,5,Physics,Instruments,Horology
683,G04G,Electronic time-pieces,5,Physics,Instruments,Horology
684,G04R,Radio-controlled time-pieces,5,Physics,Instruments,Horology
686,G05B,Control or regulating systems in general,5,Physics,Instruments,Controlling
687,G05D,Systems for controlling or regulating non-electric variables ,5,Physics,Instruments,Controlling
688,G05F,Systems for regulating electric or magnetic variables ,5,Physics,Instruments,Controlling
689,G05G,Control devices or systems insofar as characterised by mechanical features only ,5,Physics,Instruments,Controlling
691,G06C,Digital computers in which all the computation is effected mechanically ,5,Physics,Instruments,Computing
692,G06D,Digital fluid-pressure computing devices,5,Physics,Instruments,Computing
693,G06E,Optical computing devices; ,5,Physics,Instruments,Computing
694,G06F,Electrical digital data processing ,5,Physics,Instruments,Computing
695,G06G,Analogue computers ,5,Physics,Instruments,Computing
696,G06J,Hybrid computing arrangements ,5,Physics,Instruments,Computing
697,G06K,Recognition of data,5,Physics,Instruments,Computing
698,G06M,Counting mechanisms,5,Physics,Instruments,Computing
699,G06N,Computer systems based on specific computational models,5,Physics,Instruments,Computing
700,G06Q,"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes",5,Physics,Instruments,Computing
701,G06T,"Image data processing or generation, in general ",5,Physics,Instruments,Computing
703,G07B,Ticket-issuing apparatus,5,Physics,Instruments,Checking-devices
704,G07C,Time or attendance registers,5,Physics,Instruments,Checking-devices
705,G07D,"Handling of coins or of paper currency or similar valuable papers, e.g. testing, sorting by denominations, counting, dispensing, changing or depositing",5,Physics,Instruments,Checking-devices
706,G07F,Coin-freed or like apparatus ,5,Physics,Instruments,Checking-devices
707,G07G,"Registering the receipt of cash, valuables, or tokens ",5,Physics,Instruments,Checking-devices
709,G08B,Signalling or calling systems,5,Physics,Instruments,Signalling 
710,G08C,"Transmission systems for measured values, control or similar signals ",5,Physics,Instruments,Signalling 
711,G08G,Traffic control systems ,5,Physics,Instruments,Signalling 
713,G09B,Educational or demonstration appliances,5,Physics,Instruments,Education
714,G09C,Coding or ciphering apparatus for cryptographic or other purposes involving the need for secrecy ,5,Physics,Instruments,Education
715,G09D,Railway or like time or fare tables,5,Physics,Instruments,Education
716,G09F,Displaying,5,Physics,Instruments,Education
717,G09G,Arrangements or circuits for control of indicating devices using static means to present variable information ,5,Physics,Instruments,Education
719,G10B,Organs,5,Physics,Instruments,Musical instruments
720,G10C,"Pianos, harpsichords, spinets or similar stringed musical instruments with one or more keyboard ",5,Physics,Instruments,Musical instruments
721,G10D,Stringed musical instruments,5,Physics,Instruments,Musical instruments
722,G10F,Automatic musical instruments ,5,Physics,Instruments,Musical instruments
723,G10G,Aids for music ,5,Physics,Instruments,Musical instruments
724,G10H,Electrophonic musical instruments ,5,Physics,Instruments,Musical instruments
725,G10K,Sound-producing devices ,5,Physics,Instruments,Musical instruments
726,G10L,Speech analysis or synthesis,5,Physics,Instruments,Musical instruments
728,G11B,Information storage based on relative movement between record carrier and transducer ,5,Physics,Instruments,Information storage
729,G11C,Static stores ,5,Physics,Instruments,Information storage
731,G12B,"Constructional details of instruments, or comparable details of other apparatus, not otherwise provided for",5,Physics,Instruments,Instrument details
734,G21B,Fusion reactors ,5,Physics,Nucleonics,Nuclear physics
735,G21C,Nuclear reactors ,5,Physics,Nucleonics,Nuclear physics
736,G21D,Nuclear power plant ,5,Physics,Nucleonics,Nuclear physics
737,G21F,"Protection against x-radiation, gamma radiation, corpuscular radiation or particle bombardment",5,Physics,Nucleonics,Nuclear physics
738,G21G,Conversion of chemical elements,5,Physics,Nucleonics,Nuclear physics
739,G21H,Obtaining energy from radioactive sources,5,Physics,Nucleonics,Nuclear physics
740,G21J,Nuclear explosives,5,Physics,Nucleonics,Nuclear physics
741,G21K,Techniques for handling particles or ionising radiation not otherwise provided for,5,Physics,Nucleonics,Nuclear physics
742,G21Y,"Indexing scheme relating to nuclear reactors, power plants and explosives, to protection against radiation, to the treatment of radioactively contaminated material, to applications of radioactive sources and to the utilisation of cosmic radiation",5,Physics,Nucleonics,Nuclear physics
745,H01B,Cables,5,Electricity,Electricity,Basic electric elements
746,H01C,Resistors,5,Electricity,Electricity,Basic electric elements
747,H01F,Magnets,5,Electricity,Electricity,Basic electric elements
748,H01G,Capacitors,5,Electricity,Electricity,Basic electric elements
749,H01H,Electric switches,5,Electricity,Electricity,Basic electric elements
750,H01J,Electric discharge tubes or discharge lamps ,5,Electricity,Electricity,Basic electric elements
751,H01K,Electric incandescent lamps ,5,Electricity,Electricity,Basic electric elements
752,H01L,Semiconductor devices,5,Electricity,Electricity,Basic electric elements
753,H01M,"Processes or means, e.g. batteries, for the direct conversion of chemical into electrical energy ",5,Electricity,Electricity,Basic electric elements
754,H01P,Waveguides,5,Electricity,Electricity,Basic electric elements
755,H01Q,Aerials ,5,Electricity,Electricity,Basic electric elements
756,H01R,Line connectors,5,Electricity,Electricity,Basic electric elements
757,H01S,Devices using stimulated emission,5,Electricity,Electricity,Basic electric elements
758,H01T,Spark gaps,5,Electricity,Electricity,Basic electric elements
760,H02B,"Boards, substations, or switching arrangements for the supply or distribution of electric power ",5,Electricity,Electricity,Generation
761,H02G,"Installation of electric cables or lines, or of combined optical and electric cables or lines ",5,Electricity,Electricity,Generation
762,H02H,Emergency protective circuit arrangements ,5,Electricity,Electricity,Generation
763,H02J,Circuit arrangements or systems for supplying or distributing electric power,5,Electricity,Electricity,Generation
764,H02K,Dynamo-electric machines ,5,Electricity,Electricity,Generation
765,H02M,"Apparatus for conversion between ac and ac, between ac and dc, or between dc and dc, and for use with mains or similar power supply systems",5,Electricity,Electricity,Generation
766,H02N,Electric machines not otherwise provided for,5,Electricity,Electricity,Generation
767,H02P,"Control or regulation of electric motors, electric generators or dynamo-electric converters",5,Electricity,Electricity,Generation
768,H02S,"Generation of electric power by conversion of infra-red radiation, visible light or ultraviolet light, e.g. using photovoltaic [pv] modules ",5,Electricity,Electricity,Generation
770,H03B,"Generation of oscillations, directly or by frequency-changing, by circuits employing active elements which operate in a non-switching manner",5,Electricity,Electricity,Basic electronic circuitry
771,H03C,Modulation ,5,Electricity,Electricity,Basic electronic circuitry
772,H03D,Demodulation or transference of modulation from one carrier to another ,5,Electricity,Electricity,Basic electronic circuitry
773,H03F,Amplifiers ,5,Electricity,Electricity,Basic electronic circuitry
774,H03G,Control of amplification ,5,Electricity,Electricity,Basic electronic circuitry
775,H03H,"Impedance networks, e.g. resonant circuits",5,Electricity,Electricity,Basic electronic circuitry
776,H03J,Tuning resonant circuits,5,Electricity,Electricity,Basic electronic circuitry
777,H03K,Pulse technique ,5,Electricity,Electricity,Basic electronic circuitry
778,H03L,"Automatic control, starting, synchronisation, or stabilisation of generators of electronic oscillations or pulses ",5,Electricity,Electricity,Basic electronic circuitry
779,H03M,Coding,5,Electricity,Electricity,Basic electronic circuitry
781,H04B,Transmission ,5,Electricity,Electricity,Electric communication technique
782,H04H,Broadcast communication ,5,Electricity,Electricity,Electric communication technique
783,H04J,Multiplex communication ,5,Electricity,Electricity,Electric communication technique
784,H04K,Secret communication,5,Electricity,Electricity,Electric communication technique
785,H04L,"Transmission of digital information, e.g. telegraphic communication ",5,Electricity,Electricity,Electric communication technique
786,H04M,Telephonic communication ,5,Electricity,Electricity,Electric communication technique
787,H04N,"Pictorial communication, e.g. television ",5,Electricity,Electricity,Electric communication technique
788,H04Q,Selecting ,5,Electricity,Electricity,Electric communication technique
789,H04R,"Loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers",5,Electricity,Electricity,Electric communication technique
790,H04S,Stereophonic systems ,5,Electricity,Electricity,Electric communication technique
791,H04T,Indexing scheme relating to standards for electric communication technique ,5,Electricity,Electricity,Electric communication technique
792,H04W,Wireless communications networks ,5,Electricity,Electricity,Electric communication technique
794,H05B,Electric heating,5,Electricity,Electricity,Electric techniques not otherwise provided for
795,H05C,"Electric circuits or apparatus specially designed for use in equipment for killing, stunning, or guiding living beings ",5,Electricity,Electricity,Electric techniques not otherwise provided for
796,H05F,Static electricity,5,Electricity,Electricity,Electric techniques not otherwise provided for
797,H05G,X-ray technique ,5,Electricity,Electricity,Electric techniques not otherwise provided for
798,H05H,Plasma technique ,5,Electricity,Electricity,Electric techniques not otherwise provided for
799,H05K,Printed circuits,5,Electricity,Electricity,Electric techniques not otherwise provided for
802,Y02B,"Indexing scheme relating to climate change mitigation technologies related to buildings, e.g. including housing and appliances or related end-user applications",5,General tagging of new technological developments,General tagging of new technological developments,Technologies or applications for mitigation or adaptation against climate change
803,Y02C,"Capture, storage, sequestration or disposal of greenhouse gases [ghg]",5,General tagging of new technological developments,General tagging of new technological developments,Technologies or applications for mitigation or adaptation against climate change
804,Y02E,"Reduction of greenhouse gases [ghg] emission, related to energy generation, transmission or distribution",5,General tagging of new technological developments,General tagging of new technological developments,Technologies or applications for mitigation or adaptation against climate change
805,Y02T,Climate change mitigation technologies related to transportation,5,General tagging of new technological developments,General tagging of new technological developments,Technologies or applications for mitigation or adaptation against climate change
807,Y04S,"Systems integrating technologies related to power network operation, communication or information technologies for improving the electrical power generation, transmission, distribution, management or usage, i.e. smart grids",5,General tagging of new technological developments,General tagging of new technological developments,Information or communication technologies having an impact on other technology areas
809,Y10S,Technical subjects covered by former uspc cross-reference art collections [xracs] and digests,5,General tagging of new technological developments,General tagging of new technological developments,Technical subjects covered by former uspc
810,Y10T,Technical subjects covered by former us classification,5,General tagging of new technological developments,General tagging of new technological developments,Technical subjects covered by former uspc
